Date_ID,Inventory_Date,Product_ID,Warehouse_ID,Opening_Stock,Received_Qty,Sold_Qty,Damaged_Qty,Closing_Stock,Inventory_Value
20240101,2024-01-01,P0001,WH01,121,0,5,0,116,161360.64
20240101,2024-01-01,P0001,WH02,167,0,11,0,156,217002.24
20240101,2024-01-01,P0001,WH03,177,0,16,0,161,223957.44
20240101,2024-01-01,P0001,WH04,125,0,3,0,122,169706.88
20240101,2024-01-01,P0001,WH05,136,0,6,0,130,180835.2
20240101,2024-01-01,P0002,WH01,135,0,5,0,130,102014.9
20240101,2024-01-01,P0002,WH02,188,0,13,0,175,137327.75
20240101,2024-01-01,P0002,WH03,199,0,9,0,190,149098.7
20240101,2024-01-01,P0002,WH04,141,0,6,0,135,105938.55
20240101,2024-01-01,P0002,WH05,152,0,11,0,141,110646.93
20240101,2024-01-01,P0003,WH01,132,0,8,0,124,112858.6
20240101,2024-01-01,P0003,WH02,183,0,9,0,174,158366.1
20240101,2024-01-01,P0003,WH03,194,0,4,0,190,172928.5
20240101,2024-01-01,P0003,WH04,137,0,8,0,129,117409.35
20240101,2024-01-01,P0003,WH05,148,0,11,0,137,124690.55
20240101,2024-01-01,P0004,WH01,154,0,6,0,148,238940.08
20240101,2024-01-01,P0004,WH02,214,0,12,0,202,326120.92
20240101,2024-01-01,P0004,WH03,226,0,16,0,210,339036.6
20240101,2024-01-01,P0004,WH04,160,0,12,0,148,238940.08
20240101,2024-01-01,P0004,WH05,173,0,4,0,169,272843.74
20240101,2024-01-01,P0005,WH01,51,0,1,0,50,59821.5
20240101,2024-01-01,P0005,WH02,71,0,5,0,66,78964.38
20240101,2024-01-01,P0005,WH03,75,0,2,0,73,87339.39
20240101,2024-01-01,P0005,WH04,53,0,1,0,52,62214.36
20240101,2024-01-01,P0005,WH05,58,0,7,0,51,61017.93
20240101,2024-01-01,P0006,WH01,30,0,0,0,30,85378.8
20240101,2024-01-01,P0006,WH02,32,0,2,0,30,85378.8
20240101,2024-01-01,P0006,WH03,34,0,1,0,33,93916.68
20240101,2024-01-01,P0006,WH04,30,0,1,0,29,82532.84
20240101,2024-01-01,P0006,WH05,30,0,2,0,28,79686.88
20240101,2024-01-01,P0007,WH01,115,0,7,0,108,263126.88
20240101,2024-01-01,P0007,WH02,159,0,4,0,155,377635.8
20240101,2024-01-01,P0007,WH03,168,0,8,0,160,389817.6
20240101,2024-01-01,P0007,WH04,119,0,9,0,110,267999.6
20240101,2024-01-01,P0007,WH05,129,0,6,0,123,299672.28
20240101,2024-01-01,P0008,WH01,77,0,4,0,73,59837.37
20240101,2024-01-01,P0008,WH02,107,0,12,0,95,77870.55
20240101,2024-01-01,P0008,WH03,113,0,6,0,107,87706.83
20240101,2024-01-01,P0008,WH04,80,0,3,0,77,63116.13
20240101,2024-01-01,P0008,WH05,87,0,8,0,79,64755.51
20240101,2024-01-01,P0009,WH01,42,0,2,0,40,95090.0
20240101,2024-01-01,P0009,WH02,58,0,1,0,57,135503.25
20240101,2024-01-01,P0009,WH03,62,0,3,0,59,140257.75
20240101,2024-01-01,P0009,WH04,44,0,4,0,40,95090.0
20240101,2024-01-01,P0009,WH05,47,0,2,0,45,106976.25
20240101,2024-01-01,P0010,WH01,51,0,7,0,44,121679.36
20240101,2024-01-01,P0010,WH02,71,0,3,0,68,188049.92
20240101,2024-01-01,P0010,WH03,76,0,3,0,73,201877.12
20240101,2024-01-01,P0010,WH04,53,0,5,0,48,132741.12
20240101,2024-01-01,P0010,WH05,58,0,3,0,55,152099.2
20240101,2024-01-01,P0011,WH01,74,0,5,0,69,42664.08
20240101,2024-01-01,P0011,WH02,102,0,3,0,99,61213.68
20240101,2024-01-01,P0011,WH03,108,0,9,0,99,61213.68
20240101,2024-01-01,P0011,WH04,77,0,10,0,67,41427.44
20240101,2024-01-01,P0011,WH05,83,0,7,0,76,46992.32
20240101,2024-01-01,P0012,WH01,34,0,2,0,32,76452.8
20240101,2024-01-01,P0012,WH02,47,0,6,0,41,97955.15
20240101,2024-01-01,P0012,WH03,50,0,0,0,50,119457.5
20240101,2024-01-01,P0012,WH04,35,0,4,0,31,74063.65
20240101,2024-01-01,P0012,WH05,38,0,7,0,31,74063.65
20240101,2024-01-01,P0013,WH01,32,0,1,0,31,84095.25
20240101,2024-01-01,P0013,WH02,44,0,4,0,40,108510.0
20240101,2024-01-01,P0013,WH03,47,0,3,0,44,119361.0
20240101,2024-01-01,P0013,WH04,33,0,1,0,32,86808.0
20240101,2024-01-01,P0013,WH05,36,0,1,0,35,94946.25
20240101,2024-01-01,P0014,WH01,163,0,7,0,156,312700.44
20240101,2024-01-01,P0014,WH02,226,0,14,0,212,424951.88
20240101,2024-01-01,P0014,WH03,239,0,11,0,228,457023.72
20240101,2024-01-01,P0014,WH04,169,0,10,0,159,318713.91
20240101,2024-01-01,P0014,WH05,183,0,12,0,171,342767.79
20240101,2024-01-01,P0015,WH01,71,0,7,0,64,16207.36
20240101,2024-01-01,P0015,WH02,98,0,10,0,88,22285.12
20240101,2024-01-01,P0015,WH03,104,0,7,0,97,24564.28
20240101,2024-01-01,P0015,WH04,73,0,9,0,64,16207.36
20240101,2024-01-01,P0015,WH05,80,0,4,0,76,19246.24
20240101,2024-01-01,P0016,WH01,173,0,10,0,163,141624.18
20240101,2024-01-01,P0016,WH02,240,0,9,0,231,200706.66
20240101,2024-01-01,P0016,WH03,254,0,12,0,242,210264.12
20240101,2024-01-01,P0016,WH04,180,0,8,0,172,149443.92
20240101,2024-01-01,P0016,WH05,195,0,10,0,185,160739.1
20240101,2024-01-01,P0017,WH01,171,0,15,0,156,145657.2
20240101,2024-01-01,P0017,WH02,236,0,17,0,219,204480.3
20240101,2024-01-01,P0017,WH03,250,0,11,0,239,223154.3
20240101,2024-01-01,P0017,WH04,177,0,19,1,157,146590.9
20240101,2024-01-01,P0017,WH05,192,0,9,0,183,170867.1
20240101,2024-01-01,P0018,WH01,45,0,6,1,38,41520.32
20240101,2024-01-01,P0018,WH02,62,0,4,0,58,63373.12
20240101,2024-01-01,P0018,WH03,66,0,2,0,64,69928.96
20240101,2024-01-01,P0018,WH04,47,0,3,0,44,48076.16
20240101,2024-01-01,P0018,WH05,50,0,2,0,48,52446.72
20240101,2024-01-01,P0019,WH01,132,0,8,0,124,249991.44
20240101,2024-01-01,P0019,WH02,183,0,9,0,174,350794.44
20240101,2024-01-01,P0019,WH03,194,0,8,0,186,374987.16
20240101,2024-01-01,P0019,WH04,137,0,8,0,129,260071.74
20240101,2024-01-01,P0019,WH05,149,0,10,0,139,280232.34
20240101,2024-01-01,P0020,WH01,115,0,4,0,111,263674.95
20240101,2024-01-01,P0020,WH02,159,0,7,0,152,361068.4
20240101,2024-01-01,P0020,WH03,169,0,11,0,158,375321.1
20240101,2024-01-01,P0020,WH04,119,0,5,0,114,270801.3
20240101,2024-01-01,P0020,WH05,129,0,6,0,123,292180.35
20240101,2024-01-01,P0021,WH01,129,0,21,0,108,76610.88
20240101,2024-01-01,P0021,WH02,178,0,13,0,165,117044.4
20240101,2024-01-01,P0021,WH03,189,0,12,0,177,125556.72
